size,mean,variance,
1024,0.112300,0.000010,
128,0.012700,0.000002,
16384,2.071800,0.002660,
16,0.001100,0.000000,
2048,0.232700,0.000026,
256,0.026700,0.000001,
32768,4.506500,0.020591,
32,0.003200,0.000000,
4096,0.480800,0.000130,
4,0.000200,0.000000,
512,0.055400,0.000010,
64,0.006000,0.000000,
8192,0.995200,0.000208,
8,0.000600,0.000000,
