size,mean,variance,
1024,0.099950,0.000023,
128,0.011750,0.000011,
16384,2.002200,0.002191,
16,0.001000,0.000000,
1,0.000100,0.000000,
2048,0.207750,0.000029,
256,0.028050,0.000024,
2,0.000100,0.000000,
32768,3.899300,0.006528,
32,0.002600,0.000000,
4096,0.434150,0.000080,
4,0.000250,0.000000,
512,0.048300,0.000002,
64,0.008950,0.000008,
8192,0.892050,0.000403,
8,0.000500,0.000000,
