size,mean,variance,
1024,1.914000,0.000499,
128,0.242600,0.000092,
16384,31.280400,0.447839,
16,0.032850,0.000001,
1,0.004050,0.000006,
2048,3.828700,0.000763,
256,0.475150,0.000019,
2,0.008450,0.000016,
32768,62.943000,0.173946,
32,0.061900,0.000005,
4096,7.699600,0.005555,
4,0.010900,0.000019,
512,0.958250,0.000068,
64,0.120050,0.000002,
8192,15.418450,0.010707,
8,0.015800,0.000008,
