put_time [ms],get_time [ms],delete_time [ms],
0.005,0.051,0.955,
0.005,0.055,0.938,
0.005,0.052,0.957,
0.005,0.053,1.036,
0.005,0.051,0.943,
0.005,0.054,0.959,
0.005,0.052,0.952,
0.005,0.052,0.950,
0.005,0.055,0.947,
0.005,0.051,0.953,
0.005,0.052,0.953,
0.005,0.050,0.940,
0.005,0.053,0.953,
0.005,0.051,0.952,
0.005,0.054,0.950,
0.005,0.051,0.942,
0.005,0.051,0.946,
0.005,0.053,0.953,
0.005,0.053,0.939,
0.005,0.051,0.946,
