put_time [ms],get_time [ms],delete_time [ms],
0.131,0.106,0.238,
0.148,0.107,0.242,
0.131,0.106,0.243,
0.138,0.107,0.243,
0.174,0.107,0.244,
0.217,0.103,0.237,
0.132,0.100,0.236,
0.158,0.106,0.268,
0.133,0.105,0.240,
0.166,0.108,0.249,
0.136,0.103,0.237,
0.265,0.110,0.244,
0.131,0.108,0.241,
0.183,0.106,0.245,
0.167,0.106,0.262,
0.223,0.107,0.245,
0.144,0.113,0.252,
0.137,0.109,0.251,
0.136,0.105,0.238,
0.201,0.108,0.244,
