put_time [ms],get_time [ms],delete_time [ms],
0.019,0.011,0.033,
0.020,0.011,0.031,
0.019,0.010,0.037,
0.020,0.010,0.029,
0.020,0.010,0.036,
0.041,0.015,0.031,
0.019,0.010,0.033,
0.019,0.011,0.034,
0.020,0.010,0.032,
0.041,0.015,0.035,
0.041,0.014,0.033,
0.019,0.010,0.031,
0.019,0.010,0.033,
0.020,0.010,0.033,
0.019,0.010,0.032,
0.027,0.012,0.029,
0.019,0.010,0.031,
0.019,0.010,0.030,
0.021,0.010,0.029,
0.019,0.010,0.029,
