size,mean,variance,
1024,0.060100,0.000001,
128,0.008300,0.000000,
16384,0.996200,0.000243,
16,0.001000,0.000000,
2048,0.119600,0.000002,
256,0.015600,0.000001,
32768,1.990500,0.000481,
32,0.002600,0.000000,
4096,0.244100,0.000004,
4,0.000300,0.000000,
512,0.030400,0.000000,
64,0.004400,0.000000,
8192,0.488600,0.000024,
8,0.000900,0.000000,
