size,mean,variance,
1024,0.133400,0.000024,
128,0.014600,0.000000,
16384,2.463600,0.044671,
16,0.002100,0.000000,
1,0.000200,0.000000,
2048,0.276600,0.000323,
256,0.031700,0.000004,
2,0.000300,0.000000,
32768,5.146800,0.050188,
32,0.003700,0.000000,
4096,0.569200,0.000226,
4,0.000200,0.000000,
512,0.062500,0.000006,
64,0.007300,0.000000,
8192,1.176900,0.001991,
8,0.001000,0.000000,
