size,mean,variance,
1024,0.116000,0.000010,
128,0.013200,0.000001,
16384,2.156000,0.003520,
16,0.001100,0.000000,
1,0.000100,0.000000,
2048,0.241600,0.000028,
256,0.026900,0.000001,
32768,4.663900,0.058469,
32,0.003100,0.000000,
4096,0.504200,0.000155,
4,0.000200,0.000000,
512,0.056500,0.000003,
64,0.007100,0.000002,
8192,1.037400,0.000074,
8,0.001000,0.000000,
