size,mean,variance,
1024,1.085000,0.000816,
128,0.135800,0.000066,
16384,18.262900,0.079821,
16,0.017300,0.000002,
1,0.001600,0.000000,
2048,2.197700,0.001544,
256,0.265900,0.000024,
2,0.002300,0.000000,
32768,39.210200,1.922290,
32,0.033400,0.000006,
4096,4.556300,0.106363,
4,0.004800,0.000002,
512,0.551900,0.000764,
64,0.075000,0.000130,
8192,9.205000,0.121657,
8,0.009000,0.000002,
