put_time [ms],get_time [ms],delete_time [ms],
0.082,0.000,0.127,
0.082,0.000,0.127,
0.080,0.000,0.129,
0.084,0.000,0.133,
0.081,0.000,0.129,
0.088,0.000,0.142,
0.082,0.000,0.129,
0.091,0.000,0.129,
0.082,0.000,0.128,
0.079,0.000,0.128,
