size,mean,variance,
1024,0.005200,0.000000,
16384,0.087100,0.000001,
2048,0.010700,0.000000,
256,0.001000,0.000000,
32768,0.176500,0.000005,
4096,0.021400,0.000000,
512,0.002000,0.000000,
8192,0.043100,0.000000,
