size,mean,variance,
1024,0.585700,0.001022,
128,0.082500,0.000114,
16384,8.902000,0.006838,
16,0.016800,0.000008,
1,0.005900,0.000001,
2048,1.131900,0.000552,
256,0.150400,0.000033,
2,0.006900,0.000001,
32768,17.836200,0.096677,
32,0.024700,0.000008,
4096,2.255200,0.000817,
4,0.008400,0.000001,
512,0.289100,0.000036,
64,0.043300,0.000004,
8192,4.410200,0.000661,
8,0.010700,0.000005,
