size,mean,variance,
1024,1.099600,0.003974,
128,0.139400,0.000609,
16384,17.581400,0.255318,
16,0.016700,0.000005,
1,0.001600,0.000001,
2048,2.149300,0.003079,
256,0.264700,0.000038,
2,0.003000,0.000006,
32768,36.109900,0.899594,
32,0.032700,0.000008,
4096,4.350800,0.006631,
4,0.004500,0.000002,
512,0.539800,0.000805,
64,0.066500,0.000007,
8192,8.741100,0.009849,
8,0.008100,0.000001,
