put_time [ms],get_time [ms],delete_time [ms],
0.026,0.030,0.046,
0.025,0.029,0.046,
0.026,0.029,0.050,
0.026,0.031,0.046,
0.026,0.030,0.046,
0.025,0.029,0.046,
0.028,0.032,0.051,
0.026,0.030,0.047,
0.025,0.030,0.046,
0.026,0.031,0.051,
0.026,0.029,0.046,
0.027,0.029,0.047,
0.026,0.030,0.051,
0.026,0.029,0.046,
0.025,0.030,0.045,
0.025,0.030,0.046,
0.026,0.030,0.047,
0.026,0.030,0.046,
0.025,0.029,0.045,
0.026,0.032,0.048,
