put_time [ms],get_time [ms],delete_time [ms],
0.000,0.000,0.004,
0.000,0.000,0.005,
0.000,0.000,0.006,
0.000,0.001,0.004,
0.000,0.000,0.004,
0.000,0.000,0.005,
0.000,0.000,0.004,
0.000,0.000,0.004,
0.000,0.000,0.004,
0.000,0.000,0.007,
0.000,0.000,0.007,
0.000,0.000,0.005,
0.000,0.000,0.004,
0.000,0.000,0.004,
0.000,0.000,0.004,
0.000,0.000,0.004,
0.000,0.000,0.004,
0.000,0.000,0.004,
0.000,0.001,0.004,
0.000,0.000,0.005,
