put_time [ms],get_time [ms],delete_time [ms],
0.001,0.026,0.268,
0.001,0.028,0.272,
0.001,0.025,0.259,
0.001,0.027,0.269,
0.001,0.027,0.267,
0.001,0.028,0.272,
0.001,0.025,0.258,
0.001,0.028,0.271,
0.001,0.027,0.271,
0.001,0.026,0.267,
