put_time [ms],get_time [ms],delete_time [ms],
0.011,0.227,2.292,
0.011,0.217,2.151,
0.010,0.210,2.199,
0.010,0.212,2.122,
0.011,0.226,2.143,
0.011,0.214,2.220,
0.011,0.217,2.128,
0.011,0.222,2.138,
0.011,0.220,2.105,
0.010,0.217,2.236,
