put_time [ms],get_time [ms],delete_time [ms],
32.057,37.972,63.201,
32.627,37.588,63.271,
32.656,38.808,62.703,
32.056,39.771,62.441,
32.699,38.415,62.786,
32.863,38.122,63.434,
32.394,39.261,63.872,
32.216,38.183,62.664,
32.219,38.431,63.651,
32.427,37.663,62.574,
32.062,39.076,62.882,
32.203,38.338,63.086,
32.110,38.004,62.207,
32.126,37.990,63.007,
31.953,38.222,62.858,
32.589,37.930,63.176,
32.116,36.877,63.109,
32.537,37.379,62.775,
31.628,37.961,62.701,
32.294,39.098,62.462,
