put_time [ms],get_time [ms],delete_time [ms],
0.171,2.422,33.348,
0.167,2.034,32.164,
0.168,2.098,32.830,
0.167,2.007,32.959,
0.167,1.975,32.647,
0.167,1.993,32.863,
0.165,2.046,32.749,
0.166,2.098,32.275,
0.164,2.028,32.476,
0.166,1.989,32.607,
0.164,2.012,32.564,
0.166,2.044,32.607,
0.166,1.952,32.799,
0.166,1.987,32.433,
0.168,1.946,32.788,
0.168,1.892,32.663,
0.166,1.971,32.825,
0.165,1.976,32.654,
0.164,1.961,32.471,
0.167,2.004,32.824,
