put_time [ms],get_time [ms],delete_time [ms],
0.387,0.421,0.746,
0.392,0.426,0.751,
0.395,0.425,0.744,
0.402,0.438,0.755,
0.391,0.416,0.755,
0.394,0.438,0.756,
0.391,0.423,0.752,
0.397,0.432,0.752,
0.391,0.429,0.753,
0.393,0.431,0.766,
0.396,0.451,0.759,
0.387,0.425,0.744,
0.388,0.434,0.761,
0.384,0.422,0.749,
0.384,0.432,0.755,
0.387,0.444,0.747,
0.395,0.429,0.750,
0.383,0.420,0.757,
0.403,0.423,0.761,
0.401,0.474,0.758,
