put_time [ms],get_time [ms],delete_time [ms],
0.841,0.941,1.559,
0.835,0.929,1.558,
0.826,0.921,1.547,
0.831,0.960,1.565,
0.821,0.979,1.560,
0.830,0.924,1.554,
0.852,0.984,1.586,
0.826,0.937,1.533,
0.828,0.925,1.528,
0.827,0.926,1.538,
0.829,0.948,1.557,
0.827,0.991,1.550,
0.830,0.983,1.556,
0.824,0.927,1.514,
0.832,0.947,1.554,
0.826,0.923,1.533,
0.831,0.960,1.552,
0.821,0.924,1.556,
0.854,1.035,1.550,
0.824,0.922,1.529,
