put_time [ms],get_time [ms],delete_time [ms],
1.137,2.152,2.182,
1.126,2.202,2.185,
1.184,2.259,2.228,
1.109,2.293,2.177,
1.142,2.262,2.188,
1.112,2.275,2.138,
1.628,2.216,2.357,
1.119,2.166,3.036,
1.114,2.128,2.174,
1.128,2.231,2.138,
