size,mean,variance,
1024,0.190550,0.000014,
128,0.024950,0.000039,
16384,3.276450,0.001205,
16,0.002050,0.000000,
2048,0.379400,0.000034,
256,0.064000,0.000260,
32768,6.235250,0.005106,
32,0.005000,0.000000,
4096,0.753550,0.000035,
4,0.000300,0.000000,
512,0.097300,0.000091,
64,0.023800,0.000009,
8192,1.527600,0.000112,
8,0.001000,0.000000,
