size,mean,variance,
1024,0.101300,0.000008,
128,0.013100,0.000018,
16384,2.021750,0.011306,
16,0.001000,0.000000,
1,0.000100,0.000000,
2048,0.211900,0.000020,
256,0.029100,0.000030,
2,0.000100,0.000000,
32768,3.955100,0.005197,
32,0.003400,0.000003,
4096,0.443200,0.000172,
4,0.000350,0.000000,
512,0.050800,0.000007,
64,0.006100,0.000006,
8192,0.913700,0.000333,
8,0.000300,0.000000,
