size,mean,variance,
1024,0.009300,0.000000,
128,0.001250,0.000000,
16384,0.166400,0.000003,
2048,0.019000,0.000000,
256,0.002850,0.000001,
32768,0.315600,0.000003,
4096,0.038500,0.000000,
512,0.005000,0.000000,
64,0.000150,0.000000,
8192,0.078000,0.000001,
