put_time [ms],get_time [ms],delete_time [ms],
2.026,0.002,3.717,
2.052,0.003,3.810,
2.003,0.002,3.769,
2.016,0.002,3.727,
2.042,0.002,3.825,
2.007,0.002,3.790,
2.021,0.003,3.698,
2.039,0.002,3.784,
2.019,0.002,3.812,
2.035,0.002,3.761,
2.032,0.002,3.795,
2.017,0.002,3.782,
2.048,0.003,3.727,
2.020,0.002,3.755,
2.013,0.002,3.717,
2.046,0.002,3.783,
2.026,0.002,3.778,
2.018,0.003,3.768,
2.030,0.002,3.730,
2.057,0.002,3.821,
