size,mean,variance,
1024,0.056300,0.000001,
128,0.007600,0.000000,
16384,0.907800,0.000358,
16,0.001200,0.000000,
2048,0.114000,0.000003,
256,0.014400,0.000002,
2,0.000100,0.000000,
32768,1.831300,0.001547,
32,0.002200,0.000000,
4096,0.223800,0.000012,
4,0.000600,0.000000,
512,0.028500,0.000001,
64,0.004000,0.000000,
8192,0.450000,0.000038,
8,0.000900,0.000001,
