size,mean,variance,
1024,0.098450,0.000056,
128,0.015300,0.000022,
16384,1.659950,0.000541,
16,0.001200,0.000000,
1,0.000050,0.000000,
2048,0.213100,0.000227,
256,0.050800,0.000024,
2,0.000450,0.000000,
32768,3.154850,0.000334,
32,0.004000,0.000003,
4096,0.394550,0.000060,
4,0.000550,0.000000,
512,0.050700,0.000101,
64,0.006150,0.000000,
8192,0.784300,0.000050,
8,0.001000,0.000000,
