size,mean,variance,
1024,0.103900,0.000022,
128,0.012350,0.000002,
16384,2.005450,0.003707,
16,0.001200,0.000000,
1,0.000100,0.000000,
2048,0.214450,0.000011,
256,0.024350,0.000003,
2,0.000050,0.000000,
32768,4.297200,0.019865,
32,0.003000,0.000000,
4096,0.452800,0.000177,
4,0.000150,0.000000,
512,0.050750,0.000003,
64,0.006800,0.000005,
8192,0.949300,0.000964,
8,0.000950,0.000000,
