size,mean,variance,
1024,0.124850,0.000020,
128,0.015300,0.000002,
16384,2.381150,0.006217,
16,0.002000,0.000000,
1,0.000100,0.000000,
2048,0.266650,0.000141,
256,0.029950,0.000001,
2,0.000300,0.000000,
32768,5.087700,0.046401,
32,0.003800,0.000002,
4096,0.557350,0.000292,
4,0.000700,0.000000,
512,0.063100,0.000005,
64,0.007550,0.000001,
8192,1.142050,0.000643,
8,0.001050,0.000000,
