size,mean,variance,
1024,0.101750,0.000001,
128,0.013200,0.000002,
16384,1.702400,0.000291,
16,0.001650,0.000001,
2048,0.205150,0.000004,
256,0.025850,0.000001,
2,0.000300,0.000000,
32768,3.477150,0.000276,
32,0.003350,0.000001,
4096,0.413600,0.000009,
4,0.000550,0.000000,
512,0.051800,0.000002,
64,0.006300,0.000000,
8192,0.833350,0.000040,
8,0.001050,0.000000,
